rating,net_payable,work_hours,leave_days,risk_score,promotion_recommendations,predicted_growth_years,mood_index
1,78389,496,4,0.48,0,5,0.56
2,70826,505,4,0.59,0,5,0.58
5,28338,483,4,0.67,1,2,0.96
4,38030,498,2,0.4,1,1,0.89
2,28783,500,3,0.77,1,5,0.76
3,22881,484,4,0.29,0,3,0.64
3,65044,491,3,0.56,0,2,0.52
2,39150,481,3,0.79,0,2,0.41
1,37525,509,3,0.59,1,5,0.53
4,22503,509,2,0.31,0,2,0.58
2,61744,505,4,0.29,1,3,0.7
3,59334,503,4,0.57,1,5,0.92
3,64074,490,4,0.35,1,4,0.95
5,37786,507,3,0.66,1,1,0.78
4,60648,483,2,0.45,0,1,0.8
2,42588,486,2,0.67,0,5,0.79
1,63016,493,4,0.66,1,3,0.46
2,26475,482,4,0.48,1,1,0.67
4,64449,490,3,0.76,0,2,0.78
1,29511,510,3,0.28,0,3,0.38
5,22644,488,4,0.76,0,2,0.74
1,72079,504,2,0.59,1,4,0.63
1,64721,492,4,0.34,1,4,0.63
3,30778,496,3,0.38,0,5,0.75
3,72240,501,2,0.55,0,2,0.7
1,27964,499,3,0.68,1,1,0.58
2,75986,486,2,0.49,0,1,0.65
2,56985,496,4,0.3,1,3,0.69
2,71884,500,3,0.5,0,5,0.71
1,56347,499,4,0.52,0,2,0.41
1,76951,503,4,0.68,1,5,0.76
3,20216,482,3,0.29,1,4,0.96
4,49093,508,3,0.34,0,5,0.95
3,74832,502,2,0.3,0,3,0.82
3,36125,485,2,0.55,1,3,0.91
1,57369,503,3,0.55,1,1,0.66
4,52540,505,4,0.61,1,5,0.94
3,52599,494,3,0.71,1,1,0.75
3,56567,499,4,0.39,0,2,0.6
4,36038,493,3,0.49,0,2,0.56
4,49199,505,4,0.38,0,1,0.58
3,74311,510,3,0.67,1,4,0.93
4,57549,506,2,0.56,0,4,0.9
1,29820,506,3,0.26,1,3,0.57
1,41920,507,2,0.6,0,3,0.35
2,61678,495,2,0.42,1,4,0.84
2,52629,497,2,0.65,1,1,0.76
2,64623,486,2,0.6,1,4,0.86
2,23598,492,2,0.79,0,5,0.48
3,21529,498,4,0.55,1,1,0.62
3,38735,486,4,0.78,0,1,0.43
2,74626,503,4,0.39,0,1,0.65
2,37577,506,3,0.75,0,4,0.44
1,33025,497,3,0.38,0,1,0.45
1,59628,482,3,0.51,0,3,0.5
3,48920,502,3,0.44,1,4,0.89
2,57847,496,3,0.38,1,2,0.8
2,78277,507,4,0.29,1,2,0.79
3,76931,491,4,0.61,0,3,0.66
3,41788,497,2,0.58,1,4,0.98
3,48175,484,4,0.65,0,1,0.5
2,61486,480,3,0.59,0,5,0.67
3,24978,495,2,0.58,1,1,0.65
3,53664,489,2,0.33,0,3,0.73
4,75397,510,4,0.4,0,5,0.78
4,27772,488,2,0.43,0,3,0.88
1,74465,487,4,0.54,0,5,0.49
2,20741,508,2,0.64,0,2,0.42
1,60754,498,4,0.78,0,5,0.47
3,40625,500,4,0.65,1,3,0.7
3,41210,503,3,0.52,0,1,0.55
2,52740,505,3,0.47,1,2,0.62
2,35690,480,2,0.3,1,3,0.75
2,71194,508,3,0.37,0,4,0.62
1,56536,482,3,0.79,0,4,0.46
5,73622,500,4,0.56,0,5,0.87
1,60155,494,4,0.27,1,1,0.83
3,67827,489,4,0.64,0,4,0.75
3,27807,480,2,0.3,0,3,0.69
5,57574,491,2,0.78,1,4,1.0
3,59188,510,4,0.5,1,1,0.71
2,76885,499,3,0.37,0,2,0.51
4,21213,508,2,0.73,1,2,0.77
1,50446,494,4,0.66,0,4,0.23
5,22625,498,3,0.8,0,1,0.6
1,46547,495,2,0.62,1,3,0.62
2,54441,498,3,0.7,0,1,0.42
3,62710,485,2,0.5,0,3,0.66
5,65604,506,3,0.47,0,2,0.88
4,68262,500,2,0.47,1,1,0.97
3,61215,492,3,0.26,0,3,0.72
4,23476,487,2,0.75,0,2,0.73
3,78334,498,3,0.71,1,3,0.88
3,69821,492,3,0.46,1,4,0.96
3,77491,507,4,0.71,1,5,0.95
2,41258,485,2,0.29,0,5,0.88
3,53573,487,4,0.6,1,2,0.73
4,35270,486,3,0.31,0,3,0.72
3,39200,510,4,0.26,1,4,0.79
1,26353,496,2,0.71,1,2,0.62
2,58714,504,2,0.66,1,3,0.61
1,75569,496,2,0.37,0,3,0.48
3,79921,504,2,0.39,0,2,0.79
5,50953,500,4,0.26,0,1,0.76
2,51043,480,3,0.25,1,1,0.84
3,52480,491,3,0.35,1,2,0.83
3,26434,485,3,0.36,0,1,0.49
3,48202,483,3,0.25,0,3,0.82
5,31941,502,3,0.77,0,2,0.75
3,48968,505,4,0.61,1,5,0.84
5,56368,501,4,0.49,0,2,0.79
1,30804,491,3,0.55,0,2,0.35
2,70291,495,4,0.33,1,4,0.8
2,50144,493,3,0.51,0,3,0.46
1,24554,493,2,0.54,0,4,0.38
2,44868,486,3,0.72,1,1,0.73
3,49918,480,4,0.29,0,4,0.73
4,58756,510,3,0.46,0,4,0.8
3,57539,488,3,0.28,1,1,0.87
2,35647,509,4,0.67,0,4,0.36
2,34906,503,4,0.69,1,1,0.51
4,25227,507,3,0.41,0,5,0.65
4,36352,480,3,0.47,0,5,0.77
1,24445,482,4,0.67,0,2,0.31
5,60990,485,3,0.27,0,5,0.88
5,31671,502,2,0.62,0,1,0.65
2,59619,481,3,0.75,1,4,0.8
1,44456,501,4,0.26,0,2,0.41
2,22338,500,4,0.72,1,2,0.48
1,67284,480,2,0.49,1,4,0.72
5,47222,504,3,0.36,0,3,0.99
1,55640,489,2,0.34,1,3,0.74
2,20127,500,2,0.53,0,2,0.44
5,32255,481,4,0.53,0,5,0.69
1,50936,486,2,0.28,1,1,0.88
4,40971,509,2,0.28,0,2,0.74
2,64315,490,2,0.54,1,3,0.71
5,33143,500,4,0.79,0,2,0.66
1,68651,493,3,0.43,1,4,0.7
2,23944,495,4,0.78,0,2,0.28
1,55027,497,4,0.42,0,4,0.33
2,26300,489,4,0.51,1,2,0.65
2,56233,501,4,0.31,1,3,0.64
1,58935,486,2,0.49,1,1,0.83
4,27988,485,4,0.71,1,4,0.91
1,54486,504,2,0.62,0,1,0.45
1,39608,482,4,0.61,0,2,0.41
2,72346,487,3,0.66,1,1,0.72
2,63597,501,4,0.37,1,5,0.85
1,49836,503,2,0.38,1,4,0.61
3,34261,507,3,0.66,1,4,0.84
5,67467,507,3,0.28,1,1,0.97
5,66475,492,2,0.49,0,1,0.89
1,44360,490,2,0.72,1,2,0.69
5,45802,502,3,0.59,0,5,0.85
5,58479,480,4,0.53,1,1,0.96
5,64774,500,2,0.43,0,5,0.95
3,78424,501,4,0.47,0,4,0.76
1,76146,491,4,0.77,1,4,0.51
3,65897,486,2,0.79,0,5,0.85
1,47312,500,2,0.34,0,1,0.62
3,24757,492,2,0.44,0,5,0.79
1,47837,483,4,0.45,1,4,0.57
5,60920,488,3,0.33,0,2,0.93
2,24152,505,3,0.27,0,4,0.49
3,24379,481,3,0.79,0,1,0.56
2,43759,495,2,0.7,1,5,0.81
3,60941,499,3,0.62,0,4,0.75
2,69854,495,3,0.51,0,4,0.62
1,72944,504,4,0.32,1,1,0.79
2,31753,482,3,0.76,0,5,0.58
1,67083,509,3,0.67,1,5,0.66
1,43212,486,3,0.41,1,4,0.62
5,35340,507,4,0.72,0,1,0.64
3,28244,494,2,0.72,1,1,0.67
5,59787,491,3,0.52,0,1,0.75
3,47673,482,3,0.63,0,2,0.56
1,70016,483,2,0.27,1,1,0.9
3,55194,508,3,0.31,0,4,0.72
3,75849,504,2,0.7,0,2,0.67
1,33392,489,3,0.76,0,1,0.44
1,40864,502,4,0.4,1,4,0.39
3,56711,488,3,0.4,0,1,0.66
1,78324,488,3,0.65,0,4,0.41
1,56997,506,2,0.73,1,2,0.61
1,71078,483,4,0.77,1,2,0.62
1,20383,500,2,0.32,1,4,0.49
3,20675,510,4,0.28,1,3,0.69
4,33607,485,3,0.68,0,1,0.54
1,68779,487,4,0.33,1,5,0.76
2,59789,495,4,0.27,0,5,0.68
1,64947,486,2,0.75,1,3,0.74
2,22649,484,4,0.44,1,2,0.62
1,50504,493,4,0.67,1,5,0.55
1,26514,497,2,0.37,1,2,0.64
5,49216,503,3,0.57,0,3,0.91
2,53926,494,2,0.69,1,5,0.91
4,48784,503,3,0.63,0,3,0.73
3,60486,493,2,0.74,0,2,0.58
1,48015,482,3,0.36,1,4,0.65
4,73093,489,2,0.67,0,1,0.73
3,29294,501,4,0.39,1,1,0.61
2,63731,480,4,0.53,0,3,0.46
2,54741,503,2,0.63,0,4,0.54
2,62237,486,3,0.5,1,1,0.77
2,42318,484,3,0.44,0,1,0.61
1,47687,483,4,0.33,0,5,0.49
5,23185,496,4,0.45,1,5,0.92
2,65983,509,3,0.64,0,3,0.42
4,34935,497,2,0.46,0,5,0.82
1,69492,480,2,0.47,0,5,0.71
3,38144,503,2,0.32,0,3,0.75
2,73164,483,2,0.36,0,1,0.69
1,43149,492,2,0.76,1,4,0.61
4,70846,508,3,0.69,0,4,0.92
3,74222,505,4,0.33,0,3,0.62
1,67630,487,2,0.77,1,5,0.79
1,57427,491,4,0.47,0,5,0.35
3,21642,506,4,0.63,1,2,0.56
1,38469,488,4,0.69,0,4,0.29
2,43275,506,2,0.4,0,3,0.46
1,55320,506,4,0.39,0,4,0.34
3,27403,490,3,0.71,0,5,0.68
3,63152,480,2,0.59,1,2,0.83
3,73703,495,2,0.3,0,2,0.71
4,24364,489,4,0.6,0,2,0.61
2,75990,498,4,0.57,0,3,0.44
2,65526,495,3,0.3,1,4,0.8
5,73852,481,2,0.47,1,2,1.0
2,39114,481,3,0.42,1,3,0.79
1,60010,492,3,0.72,0,5,0.39
5,47909,508,2,0.27,1,1,0.95
2,35064,481,4,0.5,0,3,0.48
1,30920,489,4,0.46,1,3,0.56
1,24789,491,4,0.28,1,1,0.61
1,55946,503,4,0.39,1,4,0.53
2,58449,499,4,0.58,0,2,0.38
4,67866,487,4,0.57,0,3,0.88
3,59192,508,3,0.44,0,3,0.64
3,44891,499,3,0.43,1,1,0.74
5,64602,489,4,0.33,0,5,0.97
2,73869,507,4,0.46,0,5,0.66
1,67071,489,3,0.53,1,4,0.6
2,22667,507,3,0.58,1,2,0.59
2,70300,495,2,0.46,1,2,0.68
3,53753,484,3,0.67,0,4,0.74
2,61342,510,4,0.3,1,1,0.85
1,40777,496,3,0.51,0,1,0.53
3,52132,505,4,0.42,0,2,0.42
5,39418,508,4,0.59,0,1,0.67
5,50134,502,3,0.41,0,1,0.7
4,72916,489,2,0.29,0,2,0.98
2,27859,488,2,0.48,0,5,0.64
1,60701,508,3,0.71,0,2,0.44
4,66656,488,3,0.63,1,1,0.93
1,69261,495,2,0.61,1,1,0.86
1,30730,489,3,0.41,0,5,0.43
2,71965,481,4,0.37,0,4,0.65
3,25017,481,3,0.38,1,5,1.0
2,62331,507,4,0.52,0,2,0.41
2,31288,492,3,0.43,1,1,0.78
4,24934,502,4,0.36,0,3,0.66
1,53150,490,2,0.61,1,3,0.62
1,31377,509,3,0.45,0,1,0.49
2,69875,510,3,0.42,0,4,0.55
5,70210,504,3,0.59,0,3,0.94
2,38163,498,2,0.39,0,4,0.55
2,54220,505,2,0.35,0,4,0.67
3,79789,481,4,0.55,0,5,0.88
2,62356,494,2,0.58,0,1,0.57
3,68782,492,4,0.76,0,1,0.52
1,67032,505,3,0.5,0,3,0.36
1,64083,483,2,0.67,0,5,0.56
1,55364,506,2,0.45,0,2,0.42
4,57068,495,4,0.6,1,1,0.77
2,41687,502,2,0.47,0,1,0.53
1,62803,499,4,0.52,1,2,0.64
5,41563,505,3,0.38,1,5,0.96
3,47621,484,3,0.63,0,1,0.58
5,79005,488,4,0.28,0,4,0.99
2,23411,496,4,0.42,0,1,0.44
3,66145,510,4,0.72,0,5,0.7
4,33403,481,3,0.3,1,4,1.0
1,69128,500,2,0.3,1,4,0.67
2,58936,489,4,0.42,0,3,0.53
3,47268,508,4,0.25,1,1,0.66
4,47203,499,4,0.55,1,2,0.8
3,66155,482,4,0.34,1,1,0.76
4,22967,489,4,0.74,1,1,0.63
2,46669,509,3,0.43,1,3,0.57
2,70139,501,2,0.4,0,3,0.51
4,40729,503,2,0.59,1,2,0.86
3,77678,490,4,0.6,0,3,0.74
2,24348,482,4,0.33,1,2,0.63
3,71706,493,2,0.5,0,5,0.9
1,30291,507,3,0.62,1,4,0.55
5,45156,493,4,0.5,0,4,0.9
3,46934,500,2,0.78,0,5,0.78
2,53119,500,4,0.7,1,1,0.61
5,45509,485,3,0.53,0,4,0.93
5,44479,506,2,0.6,0,3,0.93
4,48424,488,4,0.65,1,5,0.92
1,60452,506,4,0.64,0,3,0.25
2,55712,483,2,0.49,1,2,0.8
3,63978,498,2,0.26,0,2,0.6
3,37941,500,2,0.75,0,3,0.64
2,53421,484,2,0.38,1,4,0.91
2,37444,496,2,0.57,0,2,0.4
3,21744,492,4,0.67,1,4,0.84
4,77799,509,2,0.68,1,4,1.0
5,23155,505,3,0.55,1,5,0.94
4,22623,507,3,0.54,0,2,0.65
4,46596,483,3,0.41,1,1,0.84
1,64871,489,2,0.37,1,5,0.83
4,27795,485,4,0.43,1,4,0.93
2,70099,489,3,0.51,1,1,0.88
1,68335,507,4,0.33,0,1,0.45
5,50084,491,4,0.53,0,2,0.89
3,58798,503,2,0.31,0,4,0.83
2,44178,496,3,0.42,0,3,0.47
5,53398,507,2,0.41,0,5,0.89
3,44492,506,2,0.63,1,2,0.67
1,29137,481,3,0.69,1,2,0.66
3,47275,488,4,0.33,1,1,0.68
2,28896,491,4,0.61,0,1,0.49
4,34102,486,4,0.47,1,5,0.95
1,38662,486,2,0.67,0,4,0.41
4,33909,488,3,0.58,1,3,0.94
2,73358,487,3,0.4,0,2,0.6
2,35809,509,4,0.7,0,5,0.52
4,39272,490,3,0.37,1,2,0.86
5,25735,505,4,0.73,0,5,0.64
1,63323,495,3,0.44,0,1,0.63
4,28767,490,2,0.69,1,5,0.94
5,47625,484,3,0.25,1,1,1.0
1,51476,483,4,0.35,0,3,0.47
3,58228,485,4,0.74,1,3,0.79
1,62993,493,4,0.59,1,3,0.51
4,29584,492,2,0.62,0,4,0.85
1,58326,490,3,0.7,0,5,0.39
3,61690,481,3,0.3,1,3,0.9
4,69702,485,4,0.58,1,2,0.96
3,51387,491,2,0.3,1,2,0.82
3,54111,487,4,0.38,0,1,0.54
3,24431,494,3,0.74,0,5,0.67
4,52620,502,4,0.65,0,4,0.84
2,77581,484,3,0.28,1,1,0.84
3,37342,495,4,0.7,1,3,0.63
4,25804,482,4,0.64,0,3,0.62
4,44440,501,2,0.79,0,1,0.52
5,70018,502,3,0.35,0,4,0.96
4,24778,493,2,0.34,0,2,0.77
4,77487,502,3,0.31,0,2,0.82
5,65319,500,2,0.71,0,2,0.94
2,38236,510,4,0.61,1,2,0.54
3,69212,499,3,0.55,1,5,1.0
3,77473,499,4,0.62,1,1,0.84
3,43352,509,4,0.79,1,4,0.69
3,77161,505,3,0.71,1,5,1.0
5,67142,505,3,0.47,0,4,0.92
1,27610,497,4,0.72,1,3,0.42
2,58605,490,2,0.5,0,1,0.55
4,56339,502,3,0.39,0,4,0.84
1,55946,507,4,0.28,1,5,0.6
1,57134,486,3,0.41,1,1,0.84
2,50257,483,4,0.71,0,5,0.61
1,77741,496,4,0.41,1,2,0.74
3,49256,482,2,0.39,0,3,0.72
2,33772,505,2,0.8,0,5,0.63
4,22592,494,3,0.72,0,3,0.7
2,79928,481,2,0.69,1,1,0.78
2,75249,484,4,0.66,1,2,0.77
5,27151,508,4,0.44,1,3,0.88
4,75609,482,4,0.71,0,5,0.94
4,45823,497,3,0.38,0,3,0.83
2,50147,507,2,0.3,1,5,0.9
2,71139,503,3,0.33,0,1,0.57
4,69834,505,3,0.54,0,4,0.86
5,47408,489,4,0.41,0,2,0.86
1,64717,496,2,0.71,1,5,0.75
4,41893,507,3,0.66,0,3,0.64
4,56710,494,4,0.65,0,5,0.76
3,33705,497,3,0.7,1,4,0.95
3,60401,495,4,0.79,1,2,0.61
4,77007,500,4,0.77,0,2,0.73
2,72997,495,3,0.4,1,2,0.75
1,35179,495,4,0.27,0,1,0.45
3,42095,480,3,0.39,0,2,0.65
5,32060,495,3,0.42,1,1,0.94
4,65923,508,2,0.35,0,5,0.93
1,38151,489,4,0.54,0,5,0.37
1,79140,500,2,0.39,0,2,0.57
4,40462,509,2,0.53,0,2,0.69
5,50240,489,4,0.42,0,2,0.84
2,25639,504,3,0.59,0,1,0.4
3,36474,498,4,0.61,0,5,0.66
1,69529,495,2,0.38,0,5,0.62
3,42005,495,3,0.72,0,3,0.48
5,25290,494,2,0.29,0,2,0.89
4,39659,506,4,0.45,0,2,0.57
4,36569,502,4,0.48,0,3,0.7
5,23396,491,4,0.58,1,1,0.93
1,57743,494,3,0.33,1,3,0.62
2,68740,496,2,0.51,0,1,0.67
3,30509,486,2,0.36,1,3,0.94
4,67211,496,4,0.51,1,2,0.91
5,47079,494,4,0.31,0,4,0.94
3,56883,490,2,0.72,1,1,0.83
3,76607,510,3,0.67,1,4,0.95
3,71945,496,4,0.57,1,1,0.68
3,79219,492,3,0.68,1,4,1.0
3,59613,490,4,0.69,0,4,0.77
1,20291,507,4,0.56,1,3,0.36
5,20848,504,4,0.39,0,1,0.65
3,54235,508,3,0.53,1,2,0.69
1,23562,502,3,0.74,1,4,0.47
3,40570,509,3,0.46,0,3,0.6
3,48180,494,2,0.76,0,2,0.55
3,25342,510,3,0.42,1,2,0.51
4,31831,508,3,0.42,1,2,0.83
5,23739,491,3,0.67,1,5,0.94
2,55545,495,3,0.57,0,5,0.7
2,28788,497,2,0.25,1,1,0.77
5,23272,505,4,0.74,1,2,0.81
3,25289,494,4,0.3,1,3,0.78
3,20145,484,4,0.51,0,4,0.62
3,37555,504,2,0.45,1,1,0.7
3,61377,489,2,0.72,0,1,0.68
4,40672,506,3,0.73,0,5,0.71
4,26028,505,2,0.56,0,3,0.84
4,69170,501,3,0.59,0,1,0.67
3,23203,500,2,0.48,0,2,0.48
2,76503,497,4,0.75,1,2,0.68
3,61245,489,2,0.26,1,3,1.0
4,31602,487,4,0.49,0,5,0.74
3,38827,507,2,0.55,1,3,0.82
5,42745,487,4,0.63,0,4,0.82
1,26175,507,2,0.75,1,4,0.42
3,51397,509,4,0.62,1,3,0.72
3,33449,480,2,0.42,1,1,0.74
5,44355,506,4,0.43,0,1,0.59
4,33689,491,4,0.33,1,3,0.9
5,41974,510,2,0.53,0,4,0.91
2,27973,484,2,0.47,1,2,0.59
5,43383,500,2,0.42,0,3,0.95
3,54966,486,2,0.34,0,1,0.74
4,23421,488,2,0.5,1,5,0.95
2,30634,506,2,0.73,1,3,0.59
4,64680,494,3,0.37,0,4,0.97
3,44936,486,3,0.48,0,3,0.64
5,45031,502,4,0.73,1,2,0.93
2,39701,493,2,0.39,1,3,0.67
1,27104,494,4,0.31,1,4,0.55
3,20985,489,3,0.67,1,4,0.81
1,62387,488,4,0.46,1,3,0.65
1,44961,484,4,0.59,1,1,0.61
2,44765,484,3,0.32,1,4,0.76
1,39423,510,2,0.55,1,5,0.63
3,62182,481,4,0.51,1,3,0.89
5,24260,502,3,0.43,1,2,0.99
1,53014,505,4,0.41,1,2,0.59
2,30612,490,3,0.4,1,2,0.63
4,79541,487,3,0.46,0,1,0.66
1,32915,496,3,0.59,0,2,0.36
4,73739,494,4,0.33,0,2,0.71
2,40280,486,2,0.43,1,5,0.96
2,26266,494,4,0.33,1,5,0.76
4,63937,491,4,0.45,0,1,0.6
1,63157,486,4,0.4,1,5,0.61
1,40021,502,2,0.32,0,2,0.51
1,32563,492,4,0.53,1,3,0.55
2,39693,494,2,0.53,1,3,0.64
2,37207,499,3,0.34,1,1,0.79
1,78936,507,3,0.42,1,3,0.65
2,65629,487,2,0.72,0,3,0.51
2,55405,490,2,0.72,1,4,0.78
3,65919,487,2,0.6,1,2,0.91
4,34855,497,4,0.77,0,5,0.68
3,51711,501,2,0.45,0,3,0.76
1,55607,508,4,0.39,0,3,0.4
2,44938,491,2,0.54,1,5,0.9
5,33088,503,4,0.49,0,4,0.82
4,52245,485,4,0.52,1,3,0.97
4,44884,503,4,0.73,0,3,0.83
3,32962,486,3,0.41,0,2,0.53
3,75887,482,3,0.76,0,2,0.54
2,69236,509,2,0.79,0,4,0.59
3,40265,486,3,0.78,1,1,0.74
3,69708,509,3,0.6,0,4,0.75
4,65286,508,2,0.79,0,3,0.84
1,27084,493,2,0.76,1,4,0.48
5,38943,505,3,0.68,0,5,0.74
1,34919,481,2,0.77,0,2,0.42
2,33822,484,3,0.65,0,4,0.46
5,35384,488,2,0.35,1,4,1.0
3,75600,493,4,0.37,1,1,0.78
3,75621,489,2,0.37,0,1,0.73
2,27649,494,2,0.57,0,4,0.43
4,33784,505,4,0.33,0,5,0.75
1,33491,496,2,0.35,0,2,0.51
3,38232,500,3,0.66,0,5,0.75
2,62237,487,2,0.33,0,4,0.73
1,78388,490,3,0.54,1,3,0.6
5,43865,490,3,0.78,0,3,0.84
3,75120,493,3,0.36,0,2,0.71
4,20203,484,4,0.64,0,2,0.59
2,20639,498,4,0.61,1,1,0.6
2,29376,492,2,0.72,1,2,0.6
4,37137,490,2,0.77,1,2,0.87
2,58366,507,3,0.3,0,3,0.57
2,28880,495,2,0.4,0,1,0.46
3,77330,498,3,0.73,1,1,0.79
4,20217,484,3,0.62,0,5,0.86
4,41336,500,4,0.69,0,3,0.69
5,21990,510,4,0.71,1,1,0.65
3,48316,486,4,0.66,1,2,0.75
5,24988,502,2,0.67,1,5,0.94
2,46315,496,3,0.7,0,5,0.66
5,23648,490,2,0.72,1,1,1.0
1,73893,493,3,0.46,0,2,0.51
1,41150,481,3,0.27,0,3,0.41
3,70978,493,4,0.79,0,4,0.69
4,45878,480,3,0.69,1,1,0.92
1,76433,481,4,0.54,0,2,0.45
5,37988,503,3,0.69,1,2,0.99
5,36192,508,4,0.25,1,5,0.98
4,28085,487,3,0.6,0,4,0.96
4,72308,495,4,0.6,0,5,0.94
2,73958,501,3,0.72,0,4,0.57
2,33712,502,3,0.75,1,1,0.68
1,64511,508,2,0.51,1,2,0.66
3,44429,503,2,0.77,0,5,0.73
4,60703,487,3,0.5,0,4,0.96
5,59182,502,2,0.71,0,2,0.95
2,44652,484,3,0.49,0,3,0.54
5,26112,507,2,0.75,1,1,0.94
1,27859,489,4,0.43,0,1,0.44
4,22778,488,3,0.76,1,5,0.87
2,77630,486,2,0.72,0,1,0.68
2,73348,505,3,0.44,0,4,0.55
3,76592,497,4,0.62,1,2,0.75
2,67576,509,3,0.48,0,3,0.45
3,58370,501,3,0.61,0,5,0.7
5,36614,492,2,0.43,1,1,0.98
2,77053,500,2,0.77,1,3,0.67
4,57705,483,4,0.26,0,3,0.82
5,23504,491,4,0.74,0,5,0.66
3,43212,486,3,0.7,0,3,0.56
3,66297,481,4,0.25,1,3,0.96
2,48088,495,4,0.66,0,5,0.58
2,57525,498,4,0.64,0,5,0.67
2,58981,487,3,0.69,0,4,0.64
2,44638,508,2,0.68,1,1,0.72
2,61256,483,3,0.52,0,4,0.67
2,67546,500,3,0.32,1,5,0.92
2,54922,495,3,0.34,1,1,0.75
1,56795,482,3,0.28,0,1,0.59
2,46834,481,2,0.57,0,5,0.71
3,65717,502,4,0.43,0,2,0.54
4,67448,508,3,0.35,0,2,0.75
3,51608,510,3,0.7,0,2,0.41
2,41994,490,2,0.56,1,5,0.92
2,36733,480,4,0.35,1,4,0.8
1,57056,491,4,0.29,0,1,0.63
3,54024,489,3,0.78,1,1,0.7
2,58857,508,4,0.72,0,5,0.59
1,37303,492,4,0.8,0,3,0.29
2,35093,493,4,0.32,0,3,0.43
3,51561,508,3,0.4,0,5,0.73
1,70133,487,4,0.52,0,1,0.61
3,50888,508,3,0.6,1,1,0.6
5,65352,491,4,0.58,0,2,0.89
1,55282,498,2,0.52,0,2,0.45
1,58813,480,3,0.78,1,3,0.54
3,78969,486,3,0.3,0,3,0.72
2,78062,488,2,0.37,0,2,0.56
3,27278,504,3,0.66,1,1,0.64
4,20455,488,4,0.61,0,5,0.75
4,60926,489,3,0.68,1,3,0.96
2,64601,509,4,0.71,1,1,0.62
4,57677,490,3,0.48,1,1,0.75
3,61975,504,2,0.65,0,1,0.56
1,28379,489,2,0.36,1,5,0.73
1,58779,504,4,0.79,1,3,0.54
3,29884,486,2,0.57,1,3,0.9
1,47471,489,2,0.62,0,2,0.48
2,59929,501,2,0.69,1,3,0.6
1,43266,504,4,0.55,1,2,0.52
4,41759,499,4,0.51,0,3,0.65
1,62533,495,3,0.69,0,3,0.4
5,75001,508,3,0.75,1,3,1.0
3,64018,510,2,0.57,0,2,0.61
5,24446,487,2,0.61,0,2,0.81
5,35883,503,4,0.32,0,2,0.75
1,74163,483,2,0.48,0,4,0.51
1,46313,510,2,0.29,1,4,0.62
5,33454,486,2,0.68,0,5,0.86
2,40477,488,4,0.53,0,4,0.52
1,39742,488,4,0.5,0,4,0.41
2,40014,489,3,0.27,1,1,0.77
3,23778,494,3,0.7,1,4,0.78
3,21131,503,3,0.48,0,2,0.37
2,27309,488,4,0.48,0,3,0.36
1,40898,487,4,0.54,0,2,0.3
2,67933,505,4,0.43,1,1,0.69
1,52591,486,2,0.29,1,3,0.71
1,54815,498,4,0.48,0,1,0.43
5,39133,506,4,0.7,0,4,0.76
2,70486,498,3,0.25,1,5,0.98
1,45501,494,2,0.67,0,3,0.37
4,66043,488,3,0.28,0,1,0.72
2,74107,495,3,0.54,0,4,0.66
3,60942,485,3,0.44,0,2,0.62
1,23974,503,3,0.57,0,3,0.27
5,27942,488,4,0.71,1,1,0.87
5,63817,491,2,0.78,0,2,0.9
2,30450,498,2,0.55,0,3,0.38
2,37192,480,2,0.65,1,4,0.8
4,33326,508,2,0.31,1,3,0.98
4,28667,502,4,0.69,0,2,0.58
5,35334,482,3,0.53,0,3,0.92
3,29388,499,3,0.67,0,1,0.47
2,53688,509,4,0.39,1,2,0.63
3,46236,489,2,0.57,1,1,0.73
5,50308,496,4,0.59,0,5,0.83
2,32959,508,4,0.63,0,4,0.35
5,32256,497,4,0.7,1,2,0.95
1,73145,488,2,0.34,0,5,0.71
4,79462,510,3,0.26,0,1,0.76
2,28035,497,2,0.78,1,4,0.71
1,46664,480,3,0.57,1,1,0.68
3,76722,494,2,0.52,1,4,1.0
1,43963,481,4,0.57,0,2,0.38
3,29189,504,4,0.27,0,1,0.43
4,55277,501,2,0.41,0,5,0.95
1,75982,494,4,0.49,0,4,0.47
2,78503,498,4,0.64,0,1,0.5
3,64507,507,4,0.32,1,3,0.83
3,70870,508,4,0.25,0,2,0.55
2,33253,499,3,0.77,1,4,0.58
2,66009,495,2,0.44,1,2,0.74
4,20833,489,2,0.72,0,4,0.85
4,25442,494,3,0.36,0,4,0.95
2,57828,493,4,0.31,1,4,0.71
4,49416,491,2,0.36,1,1,0.89
5,33602,486,2,0.77,0,5,0.8
3,44951,507,4,0.59,1,2,0.64
2,55896,497,4,0.46,1,3,0.62
3,43037,481,4,0.58,0,5,0.73
1,27254,505,4,0.74,0,2,0.25
5,58131,500,4,0.3,0,4,0.96
4,52306,489,4,0.52,0,3,0.75
4,22930,501,4,0.38,1,4,0.99
4,57753,506,3,0.7,1,2,0.84
4,60253,495,4,0.35,0,4,0.87
4,55248,498,4,0.28,0,5,0.84
3,73133,492,3,0.36,0,4,0.91
5,39127,494,2,0.64,0,4,0.94
2,68436,508,2,0.25,0,2,0.65
4,49342,509,4,0.8,0,5,0.76
5,51826,503,2,0.46,0,1,0.82
4,60276,498,2,0.7,1,5,1.0
5,37431,501,3,0.29,1,1,0.99
3,30374,506,3,0.41,1,3,0.73
